parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
10026012,"1634 N Lexington St, Arlington VA 22205",Westover Village,R-6,False,7237.0,49.2,False,1947.0,511-Single Family Detached,951.0,,827200.0,199100.0,2171.1,5427.75,35,4476.75,17.521072267514164,underdeveloped,estimated_from_improvement_value,375246.1296117176,511699.2676523421,209.38,144.67,274.08,12
10026013,"1630 N Lexington St, Arlington VA 22205",Westover Village,R-6,False,7232.0,48.9,False,1947.0,511-Single Family Detached,893.0,,827100.0,186900.0,2169.6,5424.0,35,4531.0,16.46386430678466,underdeveloped,estimated_from_improvement_value,380010.05807522126,518195.53373893804,209.38,144.67,274.08,12
10026009,"1683 N Longfellow St, Arlington VA 22205",Westover Village,R-6,False,6459.0,42.9,False,1937.0,511-Single Family Detached,860.0,,817900.0,180000.0,1937.6999999999998,4844.25,35,3984.25,17.753006141301544,underdeveloped,estimated_from_improvement_value,369983.98952366214,504523.62207772105,209.38,144.67,274.08,12
10026014,"1626 N Lexington St, Arlington VA 22205",Westover Village,R-6,False,7228.0,48.7,False,2003.0,511-Single Family Detached,2949.0,,827100.0,617500.0,2168.4,5421.0,35,2472.0,54.39955727725512,underdeveloped,estimated_from_improvement_value,207438.6939679026,282870.94631986716,209.38,144.67,274.08,12
10026008,"1679 N Longfellow St, Arlington VA 22205",Westover Village,R-6,False,7547.0,50.0,False,1936.0,511-Single Family Detached,342.0,,830900.0,71700.0,2264.1,5660.25,35,5318.25,6.0421359480588315,underdeveloped,estimated_from_improvement_value,429382.7408241686,585521.9193056844,209.38,144.67,274.08,12
10026007,"1675 N Longfellow St, Arlington VA 22205",Westover Village,R-6,False,7457.0,49.5,False,1937.0,511-Single Family Detached,1945.0,,829800.0,407200.0,2237.1,5592.75,35,3647.75,34.77716686781995,underdeveloped,estimated_from_improvement_value,297670.48813195655,405914.3019981225,209.38,144.67,274.08,12
10026006,"1671 N Longfellow St, Arlington VA 22205",Westover Village,R-6,False,8451.0,56.4,False,1938.0,511-Single Family Detached,2922.0,,841800.0,611800.0,2520.0,6300.0,35,3378.0,46.38095238095238,underdeveloped,estimated_from_improvement_value,248250.82857142857,338523.85714285716,209.38,144.67,274.08,12
10026011,"1638 N Lexington St, Arlington VA 22205",Westover Village,R-6,False,7213.0,49.3,False,1947.0,511-Single Family Detached,2441.0,,826900.0,511000.0,2163.9,5409.75,35,2968.75,45.12223300522205,underdeveloped,estimated_from_improvement_value,249581.34040390042,340338.19145986415,209.38,144.67,274.08,12
10026010,"1687 N Longfellow St, Arlington VA 22205",Westover Village,R-6,False,7500.0,48.2,False,1950.0,511-Single Family Detached,3122.0,,830400.0,653700.0,2250.0,5625.0,35,2503.0,55.50222222222222,underdeveloped,estimated_from_improvement_value,203230.2506666667,277132.16000000003,209.38,144.67,274.08,12
10026015,"1622 N Lexington St, Arlington VA 22205",Westover Village,R-6,False,7224.0,48.4,False,1938.0,511-Single Family Detached,2482.0,,827000.0,519700.0,2167.2,5418.0,35,2936.0,45.81026208933186,underdeveloped,estimated_from_improvement_value,246482.02288667407,336111.84939091915,209.38,144.67,274.08,12
