parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
02083033,"5409 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10000.0,79.4,False,1973.0,511-Single Family Detached,2204.0,,890400.0,507600.0,2500.0,6250.0,35,4046.0,35.264,underdeveloped,estimated_from_improvement_value,317025.13920000003,432307.00800000003,230.28,165.69,294.87,141
02083032,"5421 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10000.0,79.4,False,1959.0,511-Single Family Detached,1337.0,,890400.0,307800.0,2500.0,6250.0,35,4913.0,21.392,underdeveloped,estimated_from_improvement_value,384959.09760000004,524944.2239999999,230.28,165.69,294.87,141
02083035,"3706 N Kensington St, Arlington VA 22207",Williamsburg,R-10,False,10000.0,78.7,False,1959.0,511-Single Family Detached,1166.0,,890400.0,268400.0,2500.0,6250.0,35,5084.0,18.656,underdeveloped,estimated_from_improvement_value,398357.83680000005,543215.2320000001,230.28,165.69,294.87,141
02083034,"5405 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10282.0,75.6,False,1962.0,511-Single Family Detached,1574.0,,893800.0,362400.0,2570.5,6426.25,35,4852.25,24.49328924333787,underdeveloped,estimated_from_improvement_value,371183.4394086754,506159.2355572846,230.28,165.69,294.87,141
02083036,"5401 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10035.0,78.6,False,1959.0,511-Single Family Detached,2174.0,,890900.0,500600.0,2508.75,6271.875,35,4097.875,34.66268061783757,underdeveloped,estimated_from_improvement_value,320149.5981066268,436567.63378176384,230.28,165.69,294.87,141
02084004,"3626 N Kensington St, Arlington VA 22207",Williamsburg,R-10,False,10835.0,82.0,True,1959.0,511-Single Family Detached,1610.0,,900500.0,370700.0,2708.75,6771.875,35,5161.875,23.774803876326718,underdeveloped,estimated_from_improvement_value,377524.34010152286,514805.9183202584,230.28,165.69,294.87,141
02084003,"5408 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10743.0,97.9,True,1964.0,511-Single Family Detached,1820.0,,899400.0,419200.0,2685.75,6714.375,35,4894.375,27.106022526296194,underdeveloped,estimated_from_improvement_value,360584.63836917066,491706.325048869,230.28,165.69,294.87,141
02084005,"3620 N Kensington St, Arlington VA 22207",Williamsburg,R-10,False,10199.0,79.2,False,2023.0,511-Single Family Detached,9174.0,,892800.0,2112500.0,2549.75,6374.375,35,-2799.625,143.91999215609374,overdeveloped,estimated_from_improvement_value,,,230.28,165.69,294.87,141
02083031,"5427 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10000.0,79.9,False,1959.0,511-Single Family Detached,1702.0,,890400.0,391900.0,2500.0,6250.0,35,4548.0,27.232,underdeveloped,estimated_from_improvement_value,356359.44960000005,485944.704,230.28,165.69,294.87,141
02084014,"5416 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10000.0,78.4,False,1964.0,511-Single Family Detached,2950.0,,890400.0,679400.0,2500.0,6250.0,35,3300.0,47.199999999999996,underdeveloped,estimated_from_improvement_value,258572.16000000003,352598.4,230.28,165.69,294.87,141
02083030,"5433 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,17463.0,116.2,True,2021.0,511-Single Family Detached,6118.0,,980000.0,1408900.0,3500.0,8750.0,35,2632.0,69.92,underdeveloped,estimated_from_improvement_value,162131.2,221088.0,230.28,165.69,294.87,141
02083004,"5805 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,11595.0,74.6,False,2013.0,511-Single Family Detached,5561.0,,918300.0,1280600.0,2898.75,7246.875,35,1685.875,76.73652436394998,underdeveloped,estimated_from_improvement_value,117495.67322121606,160221.37257438552,230.28,165.69,294.87,141
02083028,"3626 N Lancaster St, Arlington VA 22207",Williamsburg,R-10,False,10000.0,98.9,True,1966.0,511-Single Family Detached,2217.0,,890400.0,510500.0,2500.0,6250.0,35,4033.0,35.472,underdeveloped,estimated_from_improvement_value,316006.52160000004,430917.98400000005,230.28,165.69,294.87,141
02083006,"5800 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,10620.0,66.7,False,2020.0,511-Single Family Detached,8651.0,,906600.0,1992100.0,2655.0,6637.5,35,-2013.5,130.33521657250472,overdeveloped,estimated_from_improvement_value,,,230.28,165.69,294.87,141
02083026,"5422 36Th Rd N, Arlington VA 22207",Williamsburg,R-10,False,10000.0,57.5,False,1966.0,511-Single Family Detached,1754.0,,890400.0,403800.0,2500.0,6250.0,35,4496.0,28.064,underdeveloped,estimated_from_improvement_value,352284.9792,480388.608,230.28,165.69,294.87,141
02083007,"5804 37Th St N, Arlington VA 22207",Williamsburg,R-10,False,17359.0,76.4,False,1952.0,511-Single Family Detached,395.0,,987500.0,90900.0,3500.0,8750.0,35,8355.0,4.514285714285714,underdeveloped,estimated_from_improvement_value,518606.7857142858,707191.0714285715,230.28,165.69,294.87,141
02083016,"5701 36Th St N, Arlington VA 22207",Williamsburg,R-10,False,10000.0,79.2,False,1952.0,511-Single Family Detached,1334.0,,899200.0,307100.0,2500.0,6250.0,35,4916.0,21.343999999999998,underdeveloped,estimated_from_improvement_value,389001.1136000001,530456.064,230.28,165.69,294.87,141
